Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
RK Verksted og Bilsalg AS;Åsaringen 100;7236;HOVIN I GAULDAL;BILVERKSTED01, KONTROLLORGAN01;991392610
Rogaland Bilverksted AS;Midtbergveien 2;4313;Stavanger;BILVERKSTED01, KONTROLLORGAN01;985621330
Værøy Auto AS;Vågen 9;8063;Værøy;BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR;957878040
PRIMA AS;IDRETTSVEIEN 2;7072;HEIMDAL;LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG;964652988
Hammerfest Auto AS;Fjordaveien 36;9610;Rypefjord;BILVERKSTED01B, KONTROLLORGAN01B;926418084
T Sylte Bil AS;Industrivegen 47;6652;SURNA;BILVERKSTED01B, KONTROLLORGAN01B;993624764
HAUGESUND LAKKSENTER AS;HEMMINGSTADVEGEN 25;5535;HAUGESUND;BILSKADE;979954158
Verdal Last og Buss AS;Neptunveien 3;7652;VERDAL;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;993105120
RINGLIS DEKKSENTER;Løkken Verk;7332;LØKKEN VERK;HJUL;846001972
JÆREN STORBIL SENTER AS;LJOSHEIMSVEIEN 1;4051;SOLA;HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;986348670
Helgerud Bilverksted;Nyveien 777;1963;LØKEN;BILVERKSTEDALLE, BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN04;970303588
STIANS BILGLASS AS;HØNENGATA 65;3515;HØNEFOSS;BILGLASS;915607322
Pynten & Midtun AS;Hadelandsveien 654;1482;NITTEDAL;BILVERKSTED01, KONTROLLORGAN01;944330011
Sandaker Bil;Sandvollen 28;3058;SOLBERGMOEN;BILVERKSTED01;952781243
DEKKPROFF AS Sarpsborg;Lilletuneveien 2;1711;SARPSBORG;HJUL;916725558
Terdal Bilservice AS;Grotlevegen 65;6727;BREMANGER;BILVERKSTED01B, KONTROLLORGAN01B;983503268
Finnvik Bilteknikk AS;Våga;5583;VIKEDAL;KONTROLLORGAN01B, BILVERKSTED01B;998284805
Felleskjøpet Agri SA avd. Harstad;Stangnesterminalen 9;9480;HARSTAD;TRAKTOR;911608103
KONGSBERG GLASSERVICE BENT HOGSTAD;BANEVEIEN 32;3612;KONGSBERG;BILGLASS;971218959
Truck og Maskin AS;Ørbradden 1;8663;MOSJØEN;TRAKTOR;987699507
Norsk Scania AS avd. Verdal;Venusvegen 10;7652;VERDAL;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN03, ALKOLASVERKSTED;879263662
RSA Bil Ski;Dynamitveien 19;1400;SKI;BILVERKSTED01B, KONTROLLORGAN01B;915518389
JÆREN BILVERKSTED OG BILPLEIE AS;Solavegen 23;4352;KLEPPE;BILVERKSTED01, KONTROLLORGAN01;811743402
Bil og Maskinservice Vuku AS;Bredingsberg  4;7660;VUKU;BILVERKSTED01B, KONTROLLORGAN01B;983039081
MACO BIL AS;STRUSSHAMNVEGEN 23;5302;STRUSSHAMN;BILVERKSTED01, KONTROLLORGAN01;921196172
Tores Auto Laksevåg A/S;Damsgårdsveien 106;5058;BERGEN;BILVERKSTED01, KONTROLLORGAN01;996043509
QVALE MC AS;Brennaveien 4;1481;HAGAN;MOTORSYKKELOGMOPED;916069278
AS Elektro;Borggt. 21;1608;Fredrikstad;BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01;924697261
MOBILE ENSJØ AS;Gladengveien 9;602;OSLO;BILVERKSTED01, KONTROLLORGAN01;974210215
ÅL  AUTO AS; Oppsjøveien 3;3570;ÅL;BILVERKSTED01B, KONTROLLORGAN01B;989298488
SULLAND FREDRIKSTAD FORD;Smørbøttaveien 11;1617;FREDRIKSTAD;BILVERKSTED01B, KONTROLLORGAN01;911352400
VANGEN SOLUTIONS AS;Industriveien;9152;SØRKJOSEN;BILVERKSTED01, KONTROLLORGAN01;913987446
NAMDAL GLASSERVICE AS;PINAVEGEN 2A;7800;NAMSOS;BILGLASS;941883680
SOLBERG BIL NOTODDEN A/S;Merdevegen 6;3676;NOTODDEN;BILVERKSTED01B, KONTROLLORGAN01B;979503156
TORLAND AUTOLAKK AS;BØVEGEN 10;4365;NÆRBØ;BILGLASS;913078853
DEKK1 AS Asker Vulk;Nye Vaksåsvei 10;1395;HVALSTAD;HJUL;979579292
TESLA MOTORS NORWAY AS avd. Oslo K100;Karihaugveien 100;976;OSLO;BILVERKSTED01;997433173
Rommen Bil AS;Ringnesveien 7;978;OSLO;BILVERKSTED01B, KONTROLLORGAN01B;981701747
Aas Bilverksted  Eriksen AS;Langbakken 12;1430;ÅS;BILVERKSTED01, KONTROLLORGAN01;910045717
A-K maskiner AS, avd. Fannrem;Reksteret;7320;FANNREM;TRAKTOR;946468037
LINDÅS BENSIN & SERVICE AS;Veråsvegen 2;5955;LINDÅS;HJUL, HENGERESPALOPSBREMSEANLEGG;935690447
Toyota Oslo AS avd Skøyen;Drammensveien 161;277;OSLO;BILVERKSTED01, KONTROLLORGAN01;950273038
NENSET GLASSVERKSTED AS;TROMMEDALSVEGEN 223;3735;SKIEN;BILGLASS;980832120
BIL BODY AS;Gate 1 1;6701;MÅLØY;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;986029389
MØLLER BIL TRONDHEIM AS;Ingvald Ystgaardsv.19-21;7047;TRONDHEIM;BILVERKSTED01B, KONTROLLORGAN01B;834874482
RIIS MONTASJE AS;Liamyrene 2;5132;NYBORG;BILGLASS;921979436
BILSENTERET ROLVSØY AS;ROLVSØYVEIEN 404;1666;ROLVSØY;HJUL, EKSOSANLEGG;895397652
Andresen Ski;Åsveien 5;1400;SKI;BILVERKSTED01B, KONTROLLORGAN01B, FARTSSKRIVER;911749963
Top Speed Auto AS;Vaterlandsveien 31;3470;SLEMMESTAD;BILVERKSTED01, KONTROLLORGAN01;914492556
Haldsrud Bilservice;Aurskog (Aurveien);1930;Aurskog;BILVERKSTED01, KONTROLLORGAN01;990539170
Boreal Buss AS avd Verksted Hammerfest;Rossmollgata 86;9600;HAMMERFEST;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;979437218
BERKÅK BIL AS;Postmyrveien 12;7391;RENNEBU;BILVERKSTED01B, KONTROLLORGAN01B;975967123
BERTEL O STEEN ROGALAND AS avd. Buss;Moseidsletta 101;4033;STAVANGER;KONTROLLORGAN03, BILVERKSTED03;912771784
Anto Bil AS;Helldalshaugen 22;5226;NESTTUN;BILVERKSTED01;912826058
Bilia Jessheim;Brannmannsveien 2;2069;JESSHEIM;BILVERKSTED01, KONTROLLORGAN01;976023188
SNERTINGDAL SERVICESENTER AS;ØVERROVEGEN 704;2838;SNERTINGDAL;HJUL, BILGLASS;976002202
TA-SERVICE TERJE ARNESTAD;CASPAR STORMS VEI 10;664;OSLO;BILVERKSTED01;955071298
GRENLAND DEKK OG FELG MINDAUGAS NAVICKAS;NEDRE KONGERØD 20;3735;SKIEN;HJUL;914986400
NST Gardermoen MC AS;Nannestadveien 456;2032;MAURA;MOTORSYKKELOGMOPED;966937157
Felleskjøpet Agri SA avd. Skei;Skei i Jølster;6843;SKEI I JØLSTER;TRAKTOR;911608103
RASTA BIL AS;SIDEVEGEN 9;2211;KONGSVINGER;BILVERKSTED01B;912489019
GUNLEIV SLEMMELID;SKRIVARVEGEN 1;3810;GVARV;HJUL;980686981
JØMNA CARAVANVERKSTED OG DELER AS;KVERNDALSVEGEN 35;2416;JØMNA;HENGERESPALOPSBREMSEANLEGG;990406006
RSA Bil Forus;Porsmyrveien 3 ;4314;SANDNES;BILVERKSTED01B, KONTROLLORGAN01B;915518389
Bil-price;OLAROA 8;3360;GEITHUS;BILVERKSTED01, KONTROLLORGAN01;984896492
Malm Bil AS;Industrivegen 1;7790;MALM;BILVERKSTED01B, KONTROLLORGAN01B;999644511
HØGLUNDS DEKKSERVICE AS;INDUSTRIVEGEN 2;2120;SAGSTUA;HJUL;919217146
Automobil 2000 Kristiansand A/S;RIGETJØNNVN 12A;4626;KR.SAND;BILVERKSTED01, KONTROLLORGAN01;977320143
SANDE BILSERVICE AS, GURSKEN;Gursken;6082;Gursken;BILVERKSTED01, BILSKADE, PABYGGER, KONTROLLORGAN01;979767870
Bil og Bobil Sør AS;Bergemoveien 11.  ;4886;GRIMSTAD;BILVERKSTED01, KONTROLLORGAN01;996218694
KRAN OG MASKINSERVICE AS;RUDSFLATA 2;2360;RUDSHØGDA;PABYGGER;970926240
J. A. BERG  AS;Fjæraveien;7130;Brekstad;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;979263287
FOLLO BILSKADE AS;Langbakken 16;1434;ÅS;BILSKADE;960435206
Toyota Bilia Bilskadesenteret Vestfold;Travveien 3;3170;SEM;BILSKADE;980648915
Silsand Auto AS;Laukhellaveien 21;9303;SILSAND;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;971193417
Servicehuset Kurt Andersen;Hans Væggers vei 9;9900;KIRKENES;BILVERKSTED01B, KONTROLLORGAN01B;966977809
Solberg Mek Verksted AS;Solberg;5282;LONEVÅG;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, BILBREMSE, HJULUTRUSTNING, PABYGGER, TRAKTOR, KONTROLLORGAN04;957838499
US Car Service AS;Bruseveien 8;1911;Flateby;BILVERKSTEDALLE, KONTROLLORGAN02, KONTROLLORGAN01B;976613953
Stavanger Bil & Elektro AS;Sørflåtveien 8;4018;STAVANGER;BILVERKSTED01B, KONTROLLORGAN01B;976228901
Møller Bilskadesenter Vestfold AS;Broen ;3170;Sem;BILSKADE;946967874
DEKK OG DELER AS avd. Stord;Lyngneset 1;5410;SAGVÅG;HJUL;996430022
HALDEN AUTO A/S;Svinesundsveien 345;1788;HALDEN;BILVERKSTED01B, KONTROLLORGAN01B;958682565
Ferda Nord AS;FINNEIDGATA 10;8210;FAUSKE;BILVERKSTED01B;976203860
Hovli Auto AS;Oslovegen 400;2920;LEIRA;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01;936915779
Servicehallen Dombås;Essostasjonen Dombås;2660;Dombås;BILVERKSTED01;988226610
Sjøholt Bilskade A/S;Walgermo;6240;Ørskog;BILSKADE;982008883
APM AUTOSERVICE AMARA MUSA;ENEBAKKVEIEN 135;680;OSLO;BILVERKSTED01;992160934
Avaldsnes Bilverksted AS;Visnesvegen 107;4262;AVALDSNES;BILVERKSTED01, KONTROLLORGAN01;977052041
Odal Bil & Karosseri AS;Østsida 36;2133;GARDVIK;BILSKADE;913102185
Palfinger Norge AS, avd. Vestfold;Borgeskogen Industriområde;3160;STOKKE;PABYGGER;980861562
ÅLESUND BIL A/S;Lerstadvegen 540;6018;ÅLESUND;BILVERKSTED01, KONTROLLORGAN01;966478616
CF Maskin AS;Marmorveien 2;1816;SKIPTVET;TRAKTOR;948260484
Lena Bil Enes Jakupovic;Hunnselvvegen 3;2830;RAUFOSS;BILSKADE, BILVERKSTED01;993196614
DEKKMANN AS - Arna Trucksenter;Magnusvegen 16-18;5262;ARNATVEIT;HJUL;966242825
HOF AUTO AS;VIKEVEIEN 3;3090;HOF;BILVERKSTED01, KONTROLLORGAN01;979713827
NAF Senter Oslo;Eikenga 9 ;579;OSLO;KONTROLLORGAN01B, BILVERKSTED01B;987372540
STEINSPRUTEN BILGLASS AS;Kokstadvegen 48 b;5257;KOKSTAD;BILGLASS;997719670
MOTORSENTERET AS;MÆLEN 4;9151;STORSLETT;MOTORSYKKELOGMOPED;966377607
BRYNJAR HÅBJØRG;Brårydningen;7074;SPONGDAL;BILVERKSTED01;970602275
Norsk Scania AS, avd. Skien;Bøleveien 184;3713;SKIEN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03, ALKOLASVERKSTED;879263662
BILSKADESENTERET AS;Hafstadvegen 97;6800;FØRDE;BILSKADE;981343654
DEKK & FELG SPESIALISTEN AS;KANALVEIEN 54;5068;BERGEN;HJUL;979630433
HAGIA GRUNNAN AS;HUSBYFARET 6;7505;STJØRDAL;HENGERESPALOPSBREMSEANLEGG;934566823
KRISTIANSAND VAREBILSENTER AS;Rosselandsveien 30;4645;NODELAND;PABYGGER, BILVERKSTED01;992157526
FERDA NORD AS avd Bjerkvik;Nordmoveien 165;8530;BJERKVIK;HENGERESPALOPSBREMSEANLEGG;976203860
LAMBERTSETER BILSHINE & DEKKSENTER AS;CECILIE THORESENS VEI 7;1153;OSLO;HJUL;913823184
Funnemark AS - avd. Kongsberg;Kobberbergsveien 6;3615;KONGSBERG;BILVERKSTED01, KONTROLLORGAN01;911876493
Bertel O.Steen Vare-Last-Buss AS;Solheimsveien 7;1473;SKÅRER;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED;984993226
RYDS BILGLASS AS avd. Ski;Nordbyveien 70;1406;SKI;BILGLASS;913387783
SVEEN BIL AS avd Fetsund;Rovenveien 384;1900;FETSUND;BILVERKSTED01, KONTROLLORGAN01;971649593
Felleskjøpet Agri SA, Barkåker;Wirgensvei 6;3157;BARKÅKER;TRAKTOR;911608103
DEKKCENTERET FREDRIKSTAD AS;LØENVEIEN 3;1653;SELLEBAKK;HJUL;976540212
Classic Auto Service AS;Trondheimsvegen 535;2092;MINNESUND;BILVERKSTED01;996503208
Tune Bil AS;Lilletuneveien 4;1711;SARPSBORG;BILVERKSTED01, KONTROLLORGAN01;968470116
NORSK SCANIA AS avd. Mosjøen;Ørbradden 8;8663;MOSJØEN;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;879263662
Furene Bil AS;Furene 36;6105;VOLDA;BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01;897818132
GREIPSTAD BILOPPRETTING;SONGDALSVN 325;4645;NODELAND;BILSKADE;974442027
DAHLE BIL;Forsøkslia 9 D;7028;TRONDHEIM;MOTORSYKKELOGMOPED, BILSKADE;920208568
CARGLASS AS Avd. Kristiansand;Barstølveien 6;4636;KRISTIANSAND S;BILGLASS;985758220
Otera Samferdsel AS;Stoaveien 14;4848;ARENDAL;BILVERKSTED01B, KONTROLLORGAN01B;995845059
HR Bildeler Risør AS;Hestemyrveien 18;4950;RISØR;KONTROLLORGAN01B, BILVERKSTED01B;985867194
TRONDHEIM MARINE AS;NYVEILIA 52;7072;HEIMDAL;HJUL;998156971
LILLESKOG AUTO;Skjoldastraumsveien 953;5567;SKJOLDASTRAUMEN;BILVERKSTED01;992451807
Jan Haukali  Auto A/S;Fabrikkveien 8;4323;Sandnes;BILVERKSTED01, KONTROLLORGAN01;984039905
Bilrep Rune Lislerud;Risheimveien 6;1591;Sperrebotn;BILVERKSTED01, KONTROLLORGAN01;976322355
Bærum kommune, Transport;Olav Ingstads vei 2;1351;RUD;BILVERKSTEDALLE, TRAKTOR, KONTROLLORGAN04;971198648
S E LARSEN GLASS AS;STOREBOTN 11;5309;KLEPPESTØ;BILGLASS;947449842
Bilskadesenteret Østfold AS;Moreneveien 20;1859;Slitu;BILSKADE;988924989
ROSENDAL MASKIN AS;RAKKESTADVEIEN 10;1814;ASKIM;TRAKTOR;938593396
Møller Bil Åsane;Litleåsvegen 59;5132;NYBORG;BILVERKSTED01B, KONTROLLORGAN01B;834083922
NAF Senter Åsane;Liamyrane 6 ;5132;NYBORG;KONTROLLORGAN01;987372540
Ullsfjord  Bilservice  AS;Lakselvbuktveien 384;9042;Laksvatn;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;835451062
Fuglestad Bil A/S;Bjerkreimsvegen 633;4389;Vikeså;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;934608976
Palfinger Norge AS;Industriveien 8;2020;SKEDSMOKORSET;PABYGGER;980861562
Brennes Auto AS;Klokkergårdveien 9;1711;SARPSBORG;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;851482652
DEKK OG DELER AS avd. Landås;Nattlandsvegen 104;5094;BERGEN;HJUL;996430022
Bilskadesenteret Gjøvik AS;Ringveien 8b;2815;Gjøvik;BILSKADE;987838043
Kjells Bil;Brunlanesveien 834;3267;LARVIK;BILSKADE;970551409
Spesial Lakkering AS;Vorsetøyveien 25;8300;SVOLVÆR;BILSKADE;958243391
AUTOSILVER AS;Sportsveien 3,;3601;KONGSBERG;BILVERKSTED01, KONTROLLORGAN01;974394596
KRISTIANSAND CARAVAN AS;STEMMANE 10;4636;KRISTIANSAND S;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, BILGLASS;983091482
Møller Bil Ensjø ;Grenseveien 65;663;OSLO;BILVERKSTED01, KONTROLLORGAN01;917805717
FINSTAD GLASS AS;STORGATA 81;8370;LEKNES;BILGLASS;967901172
Follebu Bil AS;Volden 11;2656;FOLLEBU;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;970902384
ÅLESUND AUTO AS;BREIVIKA INDUSTRIVEG 57;6018;ÅLESUND;HJUL;913885597
CENTRAL AUTO AS;MEIERIGT. 1;3300;HOKKSUND;BILVERKSTED01, KONTROLLORGAN01;975918599
Turbo-Service A/S;Solvikvn. 12;1365;BLOMMENHOLM;BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG;948289717
Fiskå karosseri A/S;Fiskåbygd;6143;Fiskåbygd;BILSKADE;959434115
Saferec A/S;Hellen Industriområde;2022;GJERDRUM;PABYGGER;932348497
Toyota Bilia Oppdal;Trondheimsvegen 1;7340;OPPDAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;980648915
Støren Dekkservice AS;Sorknesøra 12;7290;STØREN;HJULUTRUSTNING, HJUL;958507739
J.M. Bil AS;Strømmveien 74;3060;SVELVIK;BILVERKSTED01B, KONTROLLORGAN01B;959886725
AUTO-ELEKTRO A/S ;Kariveien 7;8008;Bodø;BILVERKSTED01;961291569
RYKKJE TRANSPORT AS;FYKSESUNDSVEGEN 293;5610;ØYSTESE;HJUL;989884891
Tass Bil & Karosseri AS;Nordset Industriområde;7540;KLÆBU;BILSKADE;893094342
GRUE FINNSKOG BIL&MEK.VERKST AS;Svullrya;2256;Grue Finnskog;BILVERKSTED01B, KONTROLLORGAN01B;990217874
KVAVIK DEKK & REP AS;Åneveien 7;4580;LYNGDAL;BILVERKSTED01, KONTROLLORGAN01;818673582
Larsnes Auto A/S;Halleskifte;6084;Larsnes;BILVERKSTED01B, KONTROLLORGAN01B;970922520
VIANOR AS avd 16 Lillestrøm;Leiraveien 15;2000;LILLESTRØM;BILVERKSTED01, KONTROLLORGAN01;935429447
Felleskjøpet Agri SA avd. Brekstad;Havnegaten 2;7130;BREKSTAD;TRAKTOR;911608103
Karl Sunnset;Hovinsgardan 36;7236;HOVIN I GAULDAL;FARTSSKRIVER, PABYGGER, TRAKTOR, KONTROLLORGAN01B, BILVERKSTED01B;993585769
Kapp Bilverksted AS;Kveldsrovegen 40;2849;KAPP;BILVERKSTED01, KONTROLLORGAN01;976953231
RE BRUKTBIL AS;SKVADRONVEGEN 3;4050;SOLA;HJUL;916569130
Nye Vøling Auto AS;Åse;8484;Risøyhamn;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;987345284
Melhus Autoservice AS;Vassfjellveien 3;7228;KVÅL;BILVERKSTED01, KONTROLLORGAN01;995595575
CARGLASS AS;Nedre Rommen 1;988;OSLO;BILGLASS;985758220
TRIO BILSENTER AS;Teglgata 1;7502;STJØRDAL;BILVERKSTED01, KONTROLLORGAN01;879970482
BILPLEIESPESIALISTEN SORTLAND AS;HAVNEGATA 44;8400;SORTLAND;BILGLASS;996295524
Drift og Vedlikehold AS;Løkkeåsveien 22c;3138;SKALLESTAD;BILVERKSTED01, KONTROLLORGAN01;997914104
Personbil & Varebilservice DA;Vaterlandsveien 35;3470;SLEMMESTAD;BILVERKSTED01, KONTROLLORGAN01;982236649
MÆLAND AUTOSENTER AS;Røysumvegen 3;3802;BØ I TELEMARK;HJUL;950032340
Vest Bil AS;Skare industriområde;5763;SKARE;BILVERKSTED01, KONTROLLORGAN01;883242092
DEKKPROFF AS, avd. Kristiansand;Barstølveien 29;4636;KRISTIANSAND S;HJUL;916725558
Sørlandet MC - senter AS;Blødekjærveien 11;4838;Arendal;MOTORSYKKELOGMOPED;979461526
PORSCHE CENTER TRONDHEIM AS;TUNGASLETTA 16;7047;TRONDHEIM;KONTROLLORGAN01, BILVERKSTED01;921045239
Oslo Bremseservice AS;Konghellegata 3;569;OSLO;BILVERKSTED01, KONTROLLORGAN01;926753045
CARGLASS AS, avd Arendal;Skrubbedalsveien 1;4848;ARENDAL;BILGLASS;985758220
BIL og MASKIN;Feltvegen 603;2265;Namnå;BILVERKSTED01, KONTROLLORGAN01;855077132
RØNNINGS BILVERKSTED AS;Otnesøyen 3;2485;Rendalen;BILVERKSTEDALLE, KONTROLLORGAN01B;928941507
DEKK OG SERVICE SANDNES AS;KVERNELANDSVEIEN 58;4323;SANDNES;HJUL;991742689
LILLEROLFS VERKSTED AS;PARKVEIEN 2;4838;ARENDAL;MOTORSYKKELOGMOPED;920445462
CARGLASS AS avd. Orkdal;Grønøra Industriområde;7300;ORKANGER;BILGLASS;985758220
AN DEKK AS;HUMLEVEIEN 9;9514;ALTA;HJUL;918321349
